id,text,label
164,Unemployment support should include strong incentives to seek work.,right
165,Social security should be financially sustainable over the long term.,right
166,Housing supply should be increased by making it easier to build new homes.,right
167,Private developers should play a major role in expanding housing supply.,right
168,Rent controls can discourage investment in rental housing.,right
169,Homelessness policy should combine personal responsibility with targeted assistance.,right
170,Local planning rules should not unnecessarily restrict new housing construction.,right
171,Public transport should compete for passengers and demonstrate value for money.,right
172,Transport policy should preserve people's freedom to choose how they travel.,right
173,Investment in roads remains important for economic activity.,right
174,Climate policy should avoid imposing excessive costs on households and businesses.,right
175,Renewable energy should compete in markets without unnecessary subsidies.,right
176,Environmental regulations should consider their effects on economic growth.,right
177,Workers in declining industries should be helped mainly through retraining and employment opportunities.,right
178,Climate policy should encourage private-sector innovation.,right
179,Businesses should have clear and predictable environmental rules.,right
180,Environmental policy should balance conservation with economic development.,right
181,Clean-air policy should focus on effective measures that do not impose unnecessary costs.,right
182,Immigration levels should be controlled according to national economic and social capacity.,right
183,Refugee policy should distinguish asylum from general immigration.,right
184,Asylum systems should prevent abuse while protecting people with genuine claims.,right
185,Migrants should meet the same contribution and eligibility requirements as other residents where appropriate.,right
186,Integration should emphasise learning the language and participating in the labour market.,right
187,Immigration policy should prioritise secure borders and lawful entry.,right
188,Anti-discrimination laws should be applied consistently without creating unnecessary restrictions on speech.,right
189,Police need sufficient powers to prevent and investigate crime.,right
190,Police oversight should not prevent officers from carrying out their duties effectively.,right
191,Prisons should protect the public and impose meaningful consequences for serious crimes.,right
192,Criminal justice policy should place substantial emphasis on personal responsibility.,right
193,People leaving prison should be encouraged to find work and support themselves.,right
194,Crime prevention should include effective policing and enforcement.,right
195,Public safety requires sufficient police resources.,right
196,Government surveillance powers can be justified when they are necessary to prevent serious crime.,right
197,Technology companies should protect privacy while complying with lawful investigations.,right
198,Businesses need flexibility to adopt automation without excessive regulation.,right
199,Artificial intelligence regulation should avoid preventing useful innovation.,right
200,Technology markets should remain open to competition without unnecessary government intervention.,right
201,Internet services should generally be provided through competitive markets.,right
202,Digital government services should prioritise efficiency and cost effectiveness.,right
203,Political donations should be transparent but individuals should retain freedom to support causes they choose.,right
204,Lobbying is a legitimate part of democratic participation when properly disclosed.,right
205,Government transparency should be balanced against privacy and national security.,right
206,Citizens should participate in politics primarily through established democratic institutions.,right
207,Electoral systems should preserve clear links between representatives and geographic constituencies.,right
208,Voting procedures should protect election security while remaining accessible.,right
209,Majority rule is an important principle in democratic government.,right
210,Governments should consult communities while retaining responsibility for making decisions.,right
211,Countries should cooperate internationally while preserving national sovereignty.,right
212,Climate agreements should not impose disproportionate costs on individual countries.,right
213,Foreign aid should be targeted toward measurable outcomes and accountable programmes.,right
214,Trade agreements should reduce barriers to international commerce.,right
215,Countries should ensure multinational companies cannot exploit differences between tax systems.,right
216,International organisations should respect the sovereignty of member states.,right
217,Defence spending is necessary to maintain national security.,right
218,Military capability can help deter aggression and prevent conflict.,right
219,Foreign policy should protect national security interests.,right
220,Humanitarian assistance should be provided while considering long-term costs and effectiveness.,right
221,Peace negotiations should be supported when they serve national and international security.,right
222,Employers should be free to make hiring decisions based on legitimate business needs.,right
223,Workplace equality should be enforced through clear and consistent rules.,right
224,Parental leave policies should balance family needs with the costs faced by employers.,right
225,Care work should be supported without unnecessarily distorting labour markets.,right
226,Equality before the law is preferable to policies that treat people differently by group.,right
227,Disabled people should have equal access while regulations remain proportionate for employers.,right
228,Accessibility requirements should be implemented in ways that consider costs and practical constraints.,right
229,Families should have flexibility to choose how they arrange care for older relatives.,right
230,Government should focus on equality of opportunity rather than equal outcomes.,right
231,"People should be rewarded for work, investment, and entrepreneurship.",right
232,Regional development should encourage private investment rather than rely primarily on government spending.,right
233,Anti-poverty policy should focus on employment and economic growth.,right
234,Essential infrastructure should be funded using sustainable long-term financing.,right
235,Employment regulations should not make businesses reluctant to hire.,right
236,Workers and employers should be free to negotiate appropriate workplace arrangements.,right
237,Employees should be able to join unions voluntarily without compulsory membership.,right
238,Businesses receiving public subsidies should have clear performance requirements rather than broad social obligations.,right
239,Government procurement should prioritise value for money.,right
240,Private investment can often deliver infrastructure more efficiently than government programmes.,right
241,Governments should avoid large deficits except during exceptional circumstances.,right
242,Fiscal policy should prioritise sustainable public finances.,right
243,Economic growth is important for raising living standards.,right
244,GDP remains an important measure of economic performance.,right
245,Private investment is essential for expanding productive capacity.,right
246,Competitive markets often allocate resources more efficiently than central planning.,right
247,Government intervention should be limited when markets are functioning effectively.,right
248,Competition policy should protect competition without unnecessarily breaking up successful firms.,right
249,Consumer choice is often strengthened by allowing businesses to compete freely.,right
250,Financial regulation should prevent excessive risk while preserving access to credit.,right
251,Banks should be regulated carefully without making lending unnecessarily expensive.,right
252,Large financial institutions should be subject to rules that preserve financial stability.,right
253,Legal aid should be targeted toward cases where public assistance is most necessary.,right
254,Community services should demonstrate clear value before receiving public funding.,right
255,Arts organisations should seek a mix of public and private funding.,right
256,Public broadcasters should remain independent while demonstrating value to taxpayers.,right
257,Journalism should be supported primarily through sustainable private and subscription models.,right
258,Scientific research should involve both public funding and private investment.,right
259,Research funded by taxpayers should balance openness with intellectual property rights.,right
260,Public policy should consider expert evidence alongside practical economic constraints.,right
261,Digital inequality should be addressed through education and infrastructure rather than broad subsidies.,right
262,Parents should have flexibility over how they provide food for their children.,right
263,School meal programmes should be targeted toward children who need financial assistance.,right
264,Early childhood education should include a meaningful role for families and private providers.,right
265,Preventive healthcare should be encouraged when it provides demonstrable value.,right
266,Public health policy should balance health benefits against individual freedom.,right
267,Healthcare systems should give patients more choice where practical.,right
268,Private companies can provide useful employment protections alongside legal minimum standards.,right
269,Workplace safety rules should be strong but proportionate to the risks involved.,right
270,Corporate boards should primarily focus on the long-term interests of the company and its owners.,right
271,Shareholder returns provide incentives for investment and entrepreneurship.,right
272,Consumer-credit regulation should protect people from fraud while preserving access to borrowing.,right
273,Debt advice should encourage responsible borrowing and repayment.,right
